text,philosopher,work,original_idx
"This liquefied matter flows into the region usually occupied by the nourishment and itself becomes nourishment for the body; if it attacks the seat of respiration, loss of voice and weakness ensue, the loss of voice being due to the obstruction of the passage of the breath, while the weakness is caused by the lack of nourishment in the body and internal liquefaction.",Aristotle,Aristotle - Complete Works,67353
"The consummating death I show unto you, which becometh a stimulus and promise to the living.",Nietzsche,Thus Spake Zarathustra,337575
"I do not forget the popular opinion, that the Grecian statues were not modelled after nature.",Wollstonecraft,Vindication Of The Rights Of Woman,344426
being of disclosedness itself leads to the fact that initially its derivative modification comes into view and guides the theoretical explication of the structure of truth.,Heidegger,Being And Time,236915
The conclusion of the preparatory fundamental analysis of Dasein thus has as its theme the fundamental attunement of Angst distinctive disclosedness of Dasein.,Heidegger,Being And Time,236137
"A nation that lived without war, without violent passions, without idleness would know none of these ills, nor, above all, would a nation that did not know the tyranny of wealth over poverty, nor given to abuses.",Foucault,The Birth Of The Clinic,185825
"For it is to be noted that if I have called the proposition I think an empirical proposition, I would not say by this that the I in this proposition is an empirical representation; for it is rather purely intellectual, because it belongs to thinking in general.",Kant,Critique Of Pure Reason,258862
Let us then ascertain the different ways in which a man may be said to be unjust.,Aristotle,Aristotle - Complete Works,75659
"The necessary consequence of these principles is, that pride, or an over weaning conceit of ourselves, must be vicious; since it causes uneasiness in all men, and presents them every moment with a disagreeable comparison.",Hume,A Treatise Of Human Nature,102648
"So aren't there really two possible worlds one in which Hesperus was Phosphorus, the other in which Hesperus wasn't Phosphorus in advance of our discovering that these were the same?.",Kripke,Naming And Necessity,172809
Not to want to save human lives even when we could do this with no danger to ourselves would obviously be murder.,Fichte,The System Of Ethics,266057
"In facilitating all the different round about foreign trades of consumption which are carried on in Great Britain, consists the principal advantage of the Portugal trade; and though it is not a capital advantage, it is, no doubt, a considerable one.",Smith,The Wealth Of Nations,314443
"Because of this equality, the numbers constitute one unity, and there thus accrues to number the distinction of unit and amount.",Hegel,Science Of Logic,269725
